state,district,year,quarter,transaction_count,transaction_amount
Tamil Nadu,chengalpattu district,2023,2,51706890,61412309875.0
Tamil Nadu,kanniyakumari district,2023,2,6343632,12612790280.0
Tamil Nadu,tirunelveli district,2023,2,6188960,11154710120.0
Tamil Nadu,thiruvallur district,2023,2,48176846,68546759350.0
Tamil Nadu,theni district,2023,2,5149310,10278091794.0
Tamil Nadu,ranipet district,2023,2,6422899,10576859341.0
Tamil Nadu,namakkal district,2023,2,8133870,15437161656.0
Tamil Nadu,vellore district,2023,2,11283787,18879395197.0
Tamil Nadu,thiruvarur district,2023,2,2339414,4604374150.0
Tamil Nadu,tiruchirappalli district,2023,3,12203674,21741422580.0
Tamil Nadu,ramanathapuram district,2023,3,3670023,7603550256.0
Tamil Nadu,krishnagiri district,2023,3,34486164,52478701123.0
Tamil Nadu,cuddalore district,2023,3,8993898,14964257561.0
Tamil Nadu,kancheepuram district,2023,3,34927894,41722664352.0
Tamil Nadu,tiruppur district,2023,3,30246050,38263190944.0
Tamil Nadu,dharmapuri district,2023,3,13381494,25115860184.0
Tamil Nadu,thoothukkudi district,2023,3,6408846,10972909100.0
Tamil Nadu,thanjavur district,2023,3,7006160,13205002322.0
Tamil Nadu,madurai district,2023,3,15229079,28300320002.0
Tamil Nadu,tiruvannamalai district,2023,3,10093012,17271012804.0
Tamil Nadu,salem district,2023,3,22733379,40740984216.0
Tamil Nadu,nagapattinam district,2023,3,3997287,7112347600.0
Tamil Nadu,tirupathur district,2023,3,9593808,15560586651.0
Tamil Nadu,ariyalur district,2023,3,2234365,4165786934.0
Tamil Nadu,chennai district,2023,3,64423156,85198861679.0
Tamil Nadu,the nilgiris district,2023,3,4389794,6660469419.0
Tamil Nadu,erode district,2023,3,12692404,20094330371.0
Tamil Nadu,karur district,2023,3,4645330,8254505815.0
Tamil Nadu,kallakkurichi district,2023,3,6738805,11725838306.0
Tamil Nadu,viluppuram district,2023,3,6820072,10726776823.0
Tamil Nadu,pudukkottai district,2023,3,4193425,8433778209.0
Tamil Nadu,perambalur district,2023,3,2216919,3902611011.0
Tamil Nadu,coimbatore district,2023,3,46819743,60549050278.0
Tamil Nadu,virudhunagar district,2023,3,6477489,11660283716.0
Tamil Nadu,dindigul district,2023,3,10715292,20100190663.0
Tamil Nadu,sivaganga district,2023,3,4384045,8742909537.0
Tamil Nadu,tenkasi district,2023,3,3762715,7601348511.0
Tamil Nadu,chengalpattu district,2023,3,57523688,66789071996.0
Tamil Nadu,kanniyakumari district,2023,3,7070401,13670833040.0
Tamil Nadu,tirunelveli district,2023,3,7051947,12111549020.0
Tamil Nadu,thiruvallur district,2023,3,54066131,73751421782.0
Tamil Nadu,theni district,2023,3,5696912,11056097531.0
Tamil Nadu,ranipet district,2023,3,7030037,11226066349.0
Tamil Nadu,namakkal district,2023,3,9156806,16684400956.0
Tamil Nadu,vellore district,2023,3,12442326,20076925544.0
Tamil Nadu,thiruvarur district,2023,3,2562438,4869347513.0
Tamil Nadu,tiruchirappalli district,2023,1,10559157,19312472102.0
Tamil Nadu,ramanathapuram district,2023,1,3161959,6563687794.0
Tamil Nadu,krishnagiri district,2023,1,27060721,42985634120.0
Tamil Nadu,cuddalore district,2023,1,8048998,13409796716.0
Tamil Nadu,kancheepuram district,2023,1,28434059,35659195700.0
Tamil Nadu,tiruppur district,2023,1,23102273,31612220617.0
Tamil Nadu,dharmapuri district,2023,1,11334419,21758757618.0
Tamil Nadu,thoothukkudi district,2023,1,5314189,9347641699.0
Tamil Nadu,thanjavur district,2023,1,6039246,11809807012.0
Tamil Nadu,madurai district,2023,1,12890979,24763626170.0
Tamil Nadu,tiruvannamalai district,2023,1,8350359,14864923318.0
Tamil Nadu,salem district,2023,1,19000542,35440342871.0
Tamil Nadu,nagapattinam district,2023,1,3351352,6212126931.0
Tamil Nadu,tirupathur district,2023,1,8008229,13214504318.0
Tamil Nadu,ariyalur district,2023,1,1989043,3657554169.0
Tamil Nadu,chennai district,2023,1,54082635,74022904169.0
Tamil Nadu,the nilgiris district,2023,1,3531701,5566369984.0
Tamil Nadu,erode district,2023,1,10413101,17503707079.0
Tamil Nadu,karur district,2023,1,3961099,7285246160.0
Tamil Nadu,kallakkurichi district,2023,1,5623808,10284275550.0
Tamil Nadu,viluppuram district,2023,1,6134683,9921812743.0
Tamil Nadu,pudukkottai district,2023,1,3606871,7297092570.0
Tamil Nadu,perambalur district,2023,1,1907989,3496777331.0
Tamil Nadu,coimbatore district,2023,1,39368101,51615824209.0
Tamil Nadu,virudhunagar district,2023,1,5424618,10110700191.0
Tamil Nadu,dindigul district,2023,1,8900167,16763205017.0
Tamil Nadu,sivaganga district,2023,1,3844323,7704708708.0
Tamil Nadu,tenkasi district,2023,1,3086579,6433449201.0
Tamil Nadu,chengalpattu district,2023,1,47785112,56466433731.0
Tamil Nadu,kanniyakumari district,2023,1,5769596,11195409956.0
Tamil Nadu,tirunelveli district,2023,1,5616592,9968103967.0
Tamil Nadu,thiruvallur district,2023,1,44534386,63977916519.0
Tamil Nadu,theni district,2023,1,4720868,9400279352.0
Tamil Nadu,ranipet district,2023,1,5956104,9898123646.0
Tamil Nadu,namakkal district,2023,1,7634185,14447202396.0
Tamil Nadu,vellore district,2023,1,10453261,17120886040.0
Tamil Nadu,thiruvarur district,2023,1,2211083,4490953844.0
