state,district,year,quarter,user_count
Tamil Nadu,tirupathur district,2019,2,96362
Tamil Nadu,ariyalur district,2019,2,39587
Tamil Nadu,chennai district,2019,2,969955
Tamil Nadu,the nilgiris district,2019,2,50589
Tamil Nadu,erode district,2019,2,185565
Tamil Nadu,karur district,2019,2,69047
Tamil Nadu,kallakkurichi district,2019,2,88699
Tamil Nadu,viluppuram district,2019,2,119969
Tamil Nadu,pudukkottai district,2019,2,66892
Tamil Nadu,perambalur district,2019,2,32787
Tamil Nadu,coimbatore district,2019,2,584160
Tamil Nadu,virudhunagar district,2019,2,104054
Tamil Nadu,dindigul district,2019,2,131833
Tamil Nadu,sivaganga district,2019,2,69744
Tamil Nadu,tenkasi district,2019,2,59877
Tamil Nadu,chengalpattu district,2019,2,667137
Tamil Nadu,kanniyakumari district,2019,2,106688
Tamil Nadu,tirunelveli district,2019,2,102281
Tamil Nadu,thiruvallur district,2019,2,733978
Tamil Nadu,theni district,2019,2,71870
Tamil Nadu,ranipet district,2019,2,109648
Tamil Nadu,namakkal district,2019,2,131560
Tamil Nadu,vellore district,2019,2,150242
Tamil Nadu,thiruvarur district,2019,2,47988
Tamil Nadu,tiruchirappalli district,2019,3,261919
Tamil Nadu,ramanathapuram district,2019,3,68938
Tamil Nadu,krishnagiri district,2019,3,290478
Tamil Nadu,cuddalore district,2019,3,187772
Tamil Nadu,kancheepuram district,2019,3,503192
Tamil Nadu,tiruppur district,2019,3,371296
Tamil Nadu,dharmapuri district,2019,3,149491
Tamil Nadu,thoothukkudi district,2019,3,112797
Tamil Nadu,thanjavur district,2019,3,156723
Tamil Nadu,madurai district,2019,3,305793
Tamil Nadu,tiruvannamalai district,2019,3,174910
Tamil Nadu,salem district,2019,3,342259
Tamil Nadu,nagapattinam district,2019,3,75279
Tamil Nadu,tirupathur district,2019,3,110825
Tamil Nadu,ariyalur district,2019,3,44894
Tamil Nadu,chennai district,2019,3,1090190
Tamil Nadu,the nilgiris district,2019,3,59223
Tamil Nadu,erode district,2019,3,210555
Tamil Nadu,karur district,2019,3,78089
Tamil Nadu,kallakkurichi district,2019,3,101377
Tamil Nadu,viluppuram district,2019,3,135787
Tamil Nadu,pudukkottai district,2019,3,76291
Tamil Nadu,perambalur district,2019,3,37320
Tamil Nadu,coimbatore district,2019,3,669547
Tamil Nadu,virudhunagar district,2019,3,118223
Tamil Nadu,dindigul district,2019,3,151511
Tamil Nadu,sivaganga district,2019,3,79695
Tamil Nadu,tenkasi district,2019,3,68561
Tamil Nadu,chengalpattu district,2019,3,744424
Tamil Nadu,kanniyakumari district,2019,3,125378
Tamil Nadu,tirunelveli district,2019,3,117255
Tamil Nadu,thiruvallur district,2019,3,828137
Tamil Nadu,theni district,2019,3,82211
Tamil Nadu,ranipet district,2019,3,123211
Tamil Nadu,namakkal district,2019,3,148504
Tamil Nadu,vellore district,2019,3,171770
Tamil Nadu,thiruvarur district,2019,3,55010
Tamil Nadu,tiruchirappalli district,2019,1,193798
Tamil Nadu,ramanathapuram district,2019,1,49864
Tamil Nadu,krishnagiri district,2019,1,212859
Tamil Nadu,cuddalore district,2019,1,138966
Tamil Nadu,kancheepuram district,2019,1,385091
Tamil Nadu,tiruppur district,2019,1,273869
Tamil Nadu,dharmapuri district,2019,1,111273
Tamil Nadu,thoothukkudi district,2019,1,82778
Tamil Nadu,thanjavur district,2019,1,113549
Tamil Nadu,madurai district,2019,1,224783
Tamil Nadu,tiruvannamalai district,2019,1,129411
Tamil Nadu,salem district,2019,1,257624
Tamil Nadu,nagapattinam district,2019,1,54318
Tamil Nadu,tirupathur district,2019,1,81010
Tamil Nadu,ariyalur district,2019,1,32852
Tamil Nadu,chennai district,2019,1,830586
Tamil Nadu,the nilgiris district,2019,1,41312
Tamil Nadu,erode district,2019,1,157469
Tamil Nadu,karur district,2019,1,58673
Tamil Nadu,kallakkurichi district,2019,1,73253
Tamil Nadu,viluppuram district,2019,1,100564
Tamil Nadu,pudukkottai district,2019,1,55252
Tamil Nadu,perambalur district,2019,1,27434
Tamil Nadu,coimbatore district,2019,1,495350
Tamil Nadu,virudhunagar district,2019,1,87060
Tamil Nadu,dindigul district,2019,1,109937
Tamil Nadu,sivaganga district,2019,1,57822
Tamil Nadu,tenkasi district,2019,1,50065
Tamil Nadu,chengalpattu district,2019,1,578045
Tamil Nadu,kanniyakumari district,2019,1,87667
Tamil Nadu,tirunelveli district,2019,1,85506
Tamil Nadu,thiruvallur district,2019,1,625908
Tamil Nadu,theni district,2019,1,60522
Tamil Nadu,ranipet district,2019,1,93392
Tamil Nadu,namakkal district,2019,1,112549
Tamil Nadu,vellore district,2019,1,126690
Tamil Nadu,thiruvarur district,2019,1,39202
Tamil Nadu,tiruchirappalli district,2024,4,1053136
Tamil Nadu,ramanathapuram district,2024,4,366331
Tamil Nadu,krishnagiri district,2024,4,1282448
Tamil Nadu,cuddalore district,2024,4,807634
Tamil Nadu,kancheepuram district,2024,4,879179
Tamil Nadu,tiruvallur district,2024,4,1698495
Tamil Nadu,tiruppur district,2024,4,1731021
Tamil Nadu,dharmapuri district,2024,4,620777
Tamil Nadu,thanjavur district,2024,4,709757
Tamil Nadu,madurai district,2024,4,1266349
Tamil Nadu,tiruvannamalai district,2024,4,729315
Tamil Nadu,salem district,2024,4,1492614
Tamil Nadu,nagapattinam district,2024,4,165490
Tamil Nadu,tirupathur district,2024,4,513764
Tamil Nadu,ariyalur district,2024,4,215657
Tamil Nadu,chennai district,2024,4,5541760
Tamil Nadu,the nilgiris district,2024,4,264797
Tamil Nadu,erode district,2024,4,958405
Tamil Nadu,mayiladuthurai district,2024,4,235021
Tamil Nadu,karur district,2024,4,372307
Tamil Nadu,viluppuram district,2024,4,588147
Tamil Nadu,tiruvarur district,2024,4,286693
Tamil Nadu,pudukkottai district,2024,4,407777
Tamil Nadu,perambalur district,2024,4,188217
Tamil Nadu,coimbatore district,2024,4,2702014
Tamil Nadu,virudhunagar district,2024,4,569107
Tamil Nadu,dindigul district,2024,4,761469
Tamil Nadu,sivaganga district,2024,4,382974
Tamil Nadu,tenkasi district,2024,4,354183
Tamil Nadu,thoothukudi district,2024,4,547396
Tamil Nadu,chengalpattu district,2024,4,2319818
Tamil Nadu,kanniyakumari district,2024,4,634121
Tamil Nadu,tirunelveli district,2024,4,586554
Tamil Nadu,theni district,2024,4,424884
Tamil Nadu,ranipet district,2024,4,471676
Tamil Nadu,namakkal district,2024,4,700210
Tamil Nadu,kallakurichi district,2024,4,426859
Tamil Nadu,vellore district,2024,4,710254
Tamil Nadu,tiruchirappalli district,2024,2,1012247
Tamil Nadu,ramanathapuram district,2024,2,311320
Tamil Nadu,krishnagiri district,2024,2,1146774
Tamil Nadu,cuddalore district,2024,2,781096
Tamil Nadu,kancheepuram district,2024,2,1698969
Tamil Nadu,tiruppur district,2024,2,1506694
Tamil Nadu,dharmapuri district,2024,2,603930
Tamil Nadu,thoothukkudi district,2024,2,482260
Tamil Nadu,thanjavur district,2024,2,655570
Tamil Nadu,madurai district,2024,2,1205081
Tamil Nadu,tiruvannamalai district,2024,2,728848
Tamil Nadu,salem district,2024,2,1337032
Tamil Nadu,nagapattinam district,2024,2,334692
Tamil Nadu,tirupathur district,2024,2,470378
Tamil Nadu,ariyalur district,2024,2,200549
Tamil Nadu,chennai district,2024,2,3447286
