state,year,quarter,brand,user_count
Tripura,2019,4,Realme,20529
Tripura,2019,4,Asus,5562
Tripura,2019,4,Gionee,5248
Tripura,2019,4,Motorola,4789
Tripura,2019,4,Lenovo,4722
Tripura,2019,4,Micromax,4708
Tripura,2019,4,Others,29682
Tripura,2019,2,Xiaomi,54603
Tripura,2019,2,Samsung,51075
Tripura,2019,2,Oppo,27375
Tripura,2019,2,Vivo,22017
Tripura,2019,2,Realme,14896
Tripura,2019,2,Asus,4919
Tripura,2019,2,Gionee,4636
Tripura,2019,2,Lenovo,4490
Tripura,2019,2,Motorola,4321
Tripura,2019,2,Micromax,4165
Tripura,2019,2,Others,25147
Tripura,2019,3,Xiaomi,61894
Tripura,2019,3,Samsung,57464
Tripura,2019,3,Oppo,31453
Tripura,2019,3,Vivo,25583
Tripura,2019,3,Realme,17453
Tripura,2019,3,Asus,5603
Tripura,2019,3,Gionee,4975
Tripura,2019,3,Motorola,4535
Tripura,2019,3,Micromax,4461
Tripura,2019,3,Lenovo,4420
Tripura,2019,3,Others,27615
Tripura,2019,1,Xiaomi,46096
Tripura,2019,1,Samsung,42367
Tripura,2019,1,Oppo,22197
Tripura,2019,1,Vivo,17880
Tripura,2019,1,Realme,12553
Tripura,2019,1,Asus,4231
Tripura,2019,1,Gionee,4052
Tripura,2019,1,Lenovo,3967
Tripura,2019,1,Motorola,3844
Tripura,2019,1,Micromax,3800
Tripura,2019,1,Others,22267
Tripura,2020,4,Xiaomi,101066
Tripura,2020,4,Samsung,93412
Tripura,2020,4,Oppo,57851
Tripura,2020,4,Vivo,48775
Tripura,2020,4,Realme,38173
Tripura,2020,4,Asus,7328
Tripura,2020,4,Motorola,5862
Tripura,2020,4,Gionee,5805
Tripura,2020,4,Huawei,5778
Tripura,2020,4,Lenovo,5769
Tripura,2020,4,Others,39291
Tripura,2020,2,Xiaomi,83763
Tripura,2020,2,Samsung,77685
Tripura,2020,2,Oppo,46283
Tripura,2020,2,Vivo,38364
Tripura,2020,2,Realme,28326
Tripura,2020,2,Asus,6561
Tripura,2020,2,Gionee,5452
Tripura,2020,2,Motorola,5344
Tripura,2020,2,Lenovo,5242
Tripura,2020,2,Huawei,5008
Tripura,2020,2,Others,34638
Tripura,2020,3,Xiaomi,93468
Tripura,2020,3,Samsung,86403
Tripura,2020,3,Oppo,52607
Tripura,2020,3,Vivo,44208
Tripura,2020,3,Realme,33649
Tripura,2020,3,Asus,7020
Tripura,2020,3,Motorola,5686
Tripura,2020,3,Gionee,5652
Tripura,2020,3,Lenovo,5550
Tripura,2020,3,Huawei,5432
Tripura,2020,3,Others,37056
Tripura,2020,1,Xiaomi,75081
Tripura,2020,1,Samsung,69532
Tripura,2020,1,Oppo,40260
Tripura,2020,1,Vivo,33266
Tripura,2020,1,Realme,23927
Tripura,2020,1,Asus,6050
Tripura,2020,1,Gionee,5095
Tripura,2020,1,Motorola,5014
Tripura,2020,1,Lenovo,5012
Tripura,2020,1,Micromax,4634
Tripura,2020,1,Others,32091
Tripura,2022,1,Xiaomi,143599
Tripura,2022,1,Samsung,114250
Tripura,2022,1,Oppo,83468
Tripura,2022,1,Realme,78396
Tripura,2022,1,Vivo,74834
Tripura,2022,1,Asus,7367
Tripura,2022,1,Huawei,6576
Tripura,2022,1,Tecno,6411
Tripura,2022,1,Infinix,6357
Tripura,2022,1,Motorola,6335
Tripura,2022,1,Others,54531
Tripura,2021,4,Xiaomi,135695
Tripura,2021,4,Samsung,110734
Tripura,2021,4,Oppo,77764
Tripura,2021,4,Vivo,69926
Tripura,2021,4,Realme,68822
Tripura,2021,4,Asus,7552
Tripura,2021,4,Huawei,6396
Tripura,2021,4,Motorola,6315
Tripura,2021,4,Lava,6023
Tripura,2021,4,Gionee,5955
Tripura,2021,4,Others,51110
Tripura,2021,2,Xiaomi,116546
Tripura,2021,2,Samsung,104057
Tripura,2021,2,Oppo,66970
Tripura,2021,2,Vivo,58517
Tripura,2021,2,Realme,50025
Tripura,2021,2,Asus,7942
Tripura,2021,2,Motorola,5999
Tripura,2021,2,Huawei,5937
Tripura,2021,2,Lava,5937
Tripura,2021,2,Gionee,5794
Tripura,2021,2,Others,44429
Tripura,2021,3,Xiaomi,126117
Tripura,2021,3,Samsung,107662
Tripura,2021,3,Oppo,72865
Tripura,2021,3,Vivo,64797
Tripura,2021,3,Realme,58578
Tripura,2021,3,Asus,7665
Tripura,2021,3,Huawei,6499
Tripura,2021,3,Gionee,6096
Tripura,2021,3,Lava,6044
Tripura,2021,3,Motorola,6025
Tripura,2021,3,Others,47581
Tripura,2021,1,Xiaomi,108575
Tripura,2021,1,Samsung,99168
Tripura,2021,1,Oppo,62419
Tripura,2021,1,Vivo,53698
Tripura,2021,1,Realme,42622
Tripura,2021,1,Asus,8143
Tripura,2021,1,Huawei,6052
Tripura,2021,1,Motorola,5947
Tripura,2021,1,Gionee,5872
Tripura,2021,1,Lenovo,5785
Tripura,2021,1,Others,41355
Tripura,2018,4,Xiaomi,38347
Tripura,2018,4,Samsung,35132
Tripura,2018,4,Oppo,17942
Tripura,2018,4,Vivo,14242
Tripura,2018,4,Realme,10556
Tripura,2018,4,Asus,3636
Tripura,2018,4,Lenovo,3586
Tripura,2018,4,Gionee,3584
Tripura,2018,4,Motorola,3428
Tripura,2018,4,Micromax,3415
Tripura,2018,4,Others,19397
Tripura,2018,2,Xiaomi,21258
Tripura,2018,2,Samsung,17945
Tripura,2018,2,Oppo,8953
Tripura,2018,2,Vivo,6822
Tripura,2018,2,Realme,5784
Tripura,2018,2,Gionee,2373
Tripura,2018,2,Lenovo,2240
Tripura,2018,2,Micromax,2200
Tripura,2018,2,Asus,2053
Tripura,2018,2,Motorola,1988
Tripura,2018,2,Others,11753
Tripura,2018,3,Xiaomi,29627
Tripura,2018,3,Samsung,25764
Tripura,2018,3,Oppo,12899
Tripura,2018,3,Vivo,10186
Tripura,2018,3,Realme,8049
Tripura,2018,3,Gionee,3116
Tripura,2018,3,Micromax,2824
Tripura,2018,3,Asus,2817
Tripura,2018,3,Lenovo,2778
Tripura,2018,3,Motorola,2735
Tripura,2018,3,Others,16079
Tripura,2018,1,Xiaomi,14040
Tripura,2018,1,Samsung,11668
Tripura,2018,1,Oppo,5778
Tripura,2018,1,Vivo,4197
Tripura,2018,1,Realme,3865
Tripura,2018,1,Gionee,1686
Tripura,2018,1,Lenovo,1576
Tripura,2018,1,Micromax,1432
Tripura,2018,1,Asus,1416
Tripura,2018,1,Motorola,1394
Tripura,2018,1,Others,8105
Chhattisgarh,2019,4,Xiaomi,649776
Chhattisgarh,2019,4,Vivo,534907
Chhattisgarh,2019,4,Samsung,473054
Chhattisgarh,2019,4,Oppo,290835
Chhattisgarh,2019,4,Micromax,243335
Chhattisgarh,2019,4,Realme,169406
Chhattisgarh,2019,4,Apple,44369
Chhattisgarh,2019,4,OnePlus,41107
Chhattisgarh,2019,4,Motorola,32554
Chhattisgarh,2019,4,Lenovo,27622
Chhattisgarh,2019,4,Others,218935
Chhattisgarh,2019,2,Xiaomi,521922
Chhattisgarh,2019,2,Vivo,406013
Chhattisgarh,2019,2,Samsung,388144
Chhattisgarh,2019,2,Oppo,225563
Chhattisgarh,2019,2,Micromax,208017
Chhattisgarh,2019,2,Realme,126313
Chhattisgarh,2019,2,Apple,37139
Chhattisgarh,2019,2,OnePlus,35168
Chhattisgarh,2019,2,Motorola,28701
Chhattisgarh,2019,2,Lenovo,27225
Chhattisgarh,2019,2,Others,186861
Chhattisgarh,2019,3,Xiaomi,582178
Chhattisgarh,2019,3,Vivo,463726
Chhattisgarh,2019,3,Samsung,424913
Chhattisgarh,2019,3,Oppo,254200
Chhattisgarh,2019,3,Micromax,225367
Chhattisgarh,2019,3,Realme,145376
Chhattisgarh,2019,3,Apple,40822
Chhattisgarh,2019,3,OnePlus,38300
Chhattisgarh,2019,3,Motorola,30550
Chhattisgarh,2019,3,Lenovo,26475
Chhattisgarh,2019,3,Others,203151
Chhattisgarh,2019,1,Xiaomi,454437
Chhattisgarh,2019,1,Vivo,344150
Chhattisgarh,2019,1,Samsung,336551
Chhattisgarh,2019,1,Oppo,192191
Chhattisgarh,2019,1,Micromax,187241
Chhattisgarh,2019,1,Realme,109520
Chhattisgarh,2019,1,Apple,32769
Chhattisgarh,2019,1,OnePlus,31894
Chhattisgarh,2019,1,Motorola,25968
Chhattisgarh,2019,1,Lenovo,24737
Chhattisgarh,2019,1,Others,169440
Chhattisgarh,2020,4,Xiaomi,962085
Chhattisgarh,2020,4,Vivo,951506
Chhattisgarh,2020,4,Samsung,697989
Chhattisgarh,2020,4,Oppo,473974
Chhattisgarh,2020,4,Micromax,315002
Chhattisgarh,2020,4,Realme,302527
Chhattisgarh,2020,4,Apple,59187
Chhattisgarh,2020,4,OnePlus,51351
Chhattisgarh,2020,4,Motorola,41093
Chhattisgarh,2020,4,Lenovo,34335
Chhattisgarh,2020,4,Others,301552
Chhattisgarh,2020,2,Xiaomi,796390
Chhattisgarh,2020,2,Vivo,714180
Chhattisgarh,2020,2,Samsung,579423
Chhattisgarh,2020,2,Oppo,377290
Chhattisgarh,2020,2,Micromax,282770
Chhattisgarh,2020,2,Realme,227611
Chhattisgarh,2020,2,Apple,50835
Chhattisgarh,2020,2,OnePlus,45570
Chhattisgarh,2020,2,Motorola,36651
Chhattisgarh,2020,2,Lenovo,30902
Chhattisgarh,2020,2,Others,260036
Chhattisgarh,2020,3,Xiaomi,879885
Chhattisgarh,2020,3,Vivo,837832
Chhattisgarh,2020,3,Samsung,638573
Chhattisgarh,2020,3,Oppo,424680
Chhattisgarh,2020,3,Micromax,300759
Chhattisgarh,2020,3,Realme,264356
Chhattisgarh,2020,3,Apple,54717
Chhattisgarh,2020,3,OnePlus,48306
Chhattisgarh,2020,3,Motorola,38887
Chhattisgarh,2020,3,Lenovo,32625
Chhattisgarh,2020,3,Others,278766
Chhattisgarh,2020,1,Xiaomi,711639
Chhattisgarh,2020,1,Vivo,613952
Chhattisgarh,2020,1,Samsung,521671
